year,month,day,statefips,spend_acf,spend_aer,spend_all,spend_all_inchigh,spend_all_inclow,spend_all_incmiddle,spend_apg,spend_grf,spend_hcs,spend_tws
2020,1,24,1,-0.00137,0.034,0.00683,0.0198,0.000972,0.00817,-0.0217,0.00713,0.0556,-0.0184
2020,1,24,2,0.00486,0.0552,-0.0242,-0.00965,.,-0.0652,0.155,-0.0326,-0.151,-0.0709
2020,1,24,4,-0.0088,0.0467,-0.0122,-0.00783,-0.00935,-0.0157,-0.0125,-0.0119,0.0216,-0.045
2020,1,24,5,0.0251,-0.0511,-0.00715,-0.00627,-0.00206,-0.01,0.00844,-0.0282,0.0072,0.00273
2020,1,24,6,0.00392,-0.00404,0.00812,0.00715,0.0125,0.00907,-0.0114,0.0162,0.0196,-0.00433
2020,1,24,8,0.00475,-0.0329,0.0135,0.0135,0.00273,0.0155,0.0163,0.0343,-0.00505,0.0168
2020,1,24,9,0.0392,-0.0139,-0.00537,-0.0159,-0.00123,0.0187,-0.0173,0.0043,0.0322,0.0352
2020,1,24,10,-0.032,-0.0532,-0.0063,0.000348,-0.0332,-0.00839,-0.0767,-0.0214,0.13,0.0377
2020,1,24,11,-0.000389,-0.00741,-0.00333,0.00306,-0.0474,-0.0065,-0.0504,-0.00668,0.137,0.00572
2020,1,24,12,-0.0197,-0.0443,-0.0146,-0.013,-0.0247,-0.0111,-0.00991,-0.0114,-0.0177,-0.00564
2020,1,24,13,-0.0122,-0.0969,-0.0136,-0.0249,-0.012,-0.00734,0.000568,-0.00102,-0.0179,0.0164
2020,1,24,15,0.00951,-0.0849,0.0122,-0.00256,0.108,0.0314,-0.00419,-0.013,0.151,-0.00481
2020,1,24,16,-0.000871,0.0454,-0.0141,-0.0471,-0.0182,-0.0112,-0.00825,-0.00312,0.0157,-0.0276
2020,1,24,17,0.000601,-0.179,-0.0314,-0.0415,-0.0277,-0.025,-0.0438,-0.0309,-0.0346,-0.0578
2020,1,24,18,0.0106,-0.00687,-0.0135,-0.0525,-0.000123,-0.00755,0.0496,-0.0331,-0.105,-0.0169
2020,1,24,19,-0.0115,0.0398,-0.0124,-0.0274,0.00925,-0.00941,-0.0033,-0.0495,-0.0184,-0.0485
2020,1,24,20,0.0763,0.0289,0.0329,0.0708,0.0629,0.0155,0.105,0.016,-0.0796,0.0399
2020,1,24,21,0.0196,-0.00917,-0.00518,-0.000373,-0.00413,-0.00436,0.0146,-0.0212,-0.0524,-0.0506
2020,1,24,22,0.0133,-0.308,0.00323,-0.0096,-0.023,0.0187,0.0168,0.00103,0.0646,-0.0358
2020,1,24,23,0.0388,0.00588,0.0125,-0.035,0.00664,0.0209,0.0774,-0.00677,0.00738,0.0128
2020,1,24,24,-0.0406,-0.0786,-0.0166,-0.026,0.0237,-0.00597,-0.00833,-0.0288,0.00114,0.019
2020,1,24,25,0.0253,-0.052,-0.00393,-0.00752,-0.0248,0.00457,0.0356,-0.0322,0.0385,-0.0396
2020,1,24,26,-0.0202,-0.0507,-0.0403,-0.0154,-0.0418,-0.0447,-0.0348,-0.055,-0.0985,-0.0319
