year,month,day,statefips,gps_census_fips_code,gps_retail_and_recreation,gps_grocery_and_pharmacy,gps_parks,gps_transit_stations,gps_workplaces,gps_residential,gps_away_from_home
2020,2,15,1,.,0.05,0.02,0.39,0.07,0.02,-0.01,0.0175
2020,2,15,2,.,0.05,0.03,0.14,0.02,0.01,0,-1.02E-07
2020,2,15,4,.,0.03,0.02,0.13,0.03,-0.01,0,-1.02E-07
2020,2,15,5,.,0.03,0.02,0.08,-0.03,0.01,0,-1.02E-07
2020,2,15,6,.,0.01,0.01,0.19,0.01,-0.01,0,-1.02E-07
2020,2,15,8,.,0.02,0.03,-0.16,-0.01,0.01,0,-1.02E-07
2020,2,15,9,.,0.04,-0.04,0.16,0.08,-0.02,0,-1.02E-07
2020,2,15,10,.,0.07,0.02,0.19,0.2,0.02,0,-1.02E-07
2020,2,15,11,110,-0.02,-0.02,0.13,-0.02,-0.02,-0.01,0.0175
2020,2,15,12,.,0.02,0,0.09,0.02,-0.01,-0.01,0.0175
2020,2,15,13,.,0.05,0.01,0.42,0.04,0.01,-0.01,0.0175
2020,2,15,15,.,0.02,0.02,0.19,0.04,-0.01,0,-1.02E-07
2020,2,15,16,.,0.03,0.03,0.07,0,-0.01,0,-1.02E-07
2020,2,15,17,.,0.04,0.03,0.1,0.03,0.03,-0.01,0.0175
2020,2,15,18,.,0.09,0.04,0.16,0.07,0,-0.01,0.0175
2020,2,15,19,.,0.08,0.13,0.24,0,0.03,-0.01,0.0175
2020,2,15,20,.,0.04,0,0.09,0.02,0.02,0,-1.02E-07
2020,2,15,21,.,0.08,0.04,0.37,0.09,0.01,-0.01,0.0175
2020,2,15,22,.,0.08,0.06,0.26,0.13,0.02,-0.01,0.0175
2020,2,15,23,.,0.04,-0.03,-0.06,0.13,-0.03,0.01,-0.0175
2020,2,15,24,.,0.02,0,0.04,0.01,0,-0.01,0.0175
2020,2,15,25,.,0.02,-0.04,0,0.03,-0.02,0,-1.02E-07
2020,2,15,26,.,0.02,0,0.15,0.05,0.04,0,-1.02E-07
2020,2,15,27,.,0.06,0.02,0.13,0.05,0.01,-0.01,0.0175
2020,2,15,28,.,0.08,0.06,0.17,0.08,0.01,-0.01,0.0175
2020,2,15,29,.,0.05,0.04,0.11,0.01,0.04,-0.01,0.0175
2020,2,15,30,.,0.04,0.02,-0.08,0.02,0,0,-1.02E-07
2020,2,15,31,.,0.09,0.05,0.37,-0.01,-0.01,-0.01,0.0175
2020,2,15,32,.,0.03,0.02,0.08,0.02,-0.02,0,-1.02E-07
2020,2,15,33,.,0.03,-0.02,0.06,0.18,0.02,0,-1.02E-07
2020,2,15,34,.,0.03,-0.03,0.05,0.02,0.01,0,-1.02E-07
2020,2,15,35,.,0.05,0.08,0.21,0.02,0,-0.01,0.0175
2020,2,15,36,.,0.03,-0.04,-0.02,-0.04,0.01,0,-1.02E-07
2020,2,15,37,.,0.06,-0.01,0.23,0.04,-0.01,-0.01,0.0175
2020,2,15,38,.,0.07,-0.02,-0.01,0.05,0.01,-0.01,0.0175
2020,2,15,39,.,0.05,0,0.15,0.01,0,0,-1.02E-07
2020,2,15,40,.,0.04,0.02,0.07,0.02,0.01,0,-1.02E-07
2020,2,15,41,.,0.02,-0.03,-0.05,-0.01,-0.01,0,-1.02E-07
2020,2,15,42,.,0.05,-0.01,0.13,0.03,0,0,-1.02E-07
2020,2,15,44,.,0.01,-0.04,0.15,0.02,-0.01,0,-1.02E-07
2020,2,15,45,.,0.07,0.03,0.39,0.05,0,-0.01,0.0175
2020,2,15,46,.,0.07,0.06,0.04,0.03,-0.01,0,-1.02E-07
2020,2,15,47,.,0.07,0.04,0.54,0.04,0.03,-0.01,0.0175
2020,2,15,48,.,0.03,0.03,0.12,0.03,0.01,-0.01,0.0175
2020,2,15,49,.,0.02,0.03,0.25,0,0,0,-1.02E-07
2020,2,15,50,.,0.1,0.02,0.24,0.08,0,0,-1.02E-07
2020,2,15,51,.,0.02,0.02,0.03,0.04,0,0,-1.02E-07
2020,2,15,53,.,0.02,-0.01,0.08,0.08,-0.03,0,-1.02E-07
2020,2,15,54,.,0.07,-0.03,0.17,0,0,0,-1.02E-07
2020,2,15,55,.,0.07,0.06,0.22,0.03,0.03,-0.01,0.0175
2020,2,15,56,.,0.04,0.03,0.01,-0.05,0.01,0,-1.02E-07
2020,2,16,1,.,0,-0.02,-0.07,0.03,-0.01,0.01,-0.0203
2020,2,16,2,.,0.15,0.05,0.29,0.06,0.01,-0.01,0.0203
2020,2,16,4,.,0.07,0.03,0.3,0.03,0,-0.01,0.0203
2020,2,16,5,.,0.05,0.04,0.32,0,0.01,-0.01,0.0203
2020,2,16,6,.,0.05,0,0.31,0.01,-0.01,-0.01,0.0203
2020,2,16,8,.,0.07,0.05,-0.07,0.03,0.01,0,-1.14E-07
2020,2,16,9,.,0.05,-0.05,-0.04,0.03,0,0,-1.14E-07
2020,2,16,10,.,0.06,0.02,0.21,0.04,0.02,-0.01,0.0203
2020,2,16,11,110,0.06,-0.01,0.37,0.03,0,-0.01,0.0203
2020,2,16,12,.,0.04,0.01,0.08,0.02,-0.02,0,-1.14E-07
2020,2,16,13,.,-0.02,-0.05,-0.19,-0.05,-0.03,0.01,-0.0203
2020,2,16,15,.,0.04,0.03,0.15,0.04,-0.01,-0.01,0.0203
2020,2,16,16,.,0.11,0.03,0.14,0,-0.01,0,-1.14E-07
2020,2,16,17,.,0.08,0.02,0.29,0.03,0.02,-0.01,0.0203
2020,2,16,18,.,0.08,0.03,0.34,0.05,0.01,-0.01,0.0203
2020,2,16,19,.,0.1,0.18,0.16,-0.04,0.02,-0.01,0.0203
2020,2,16,20,.,0.15,0.03,0.23,0.06,0.01,-0.01,0.0203
2020,2,16,21,.,0.03,0,0.25,0.03,0,0,-1.14E-07
2020,2,16,22,.,0.05,0.03,-0.03,0.08,-0.01,0,-1.14E-07
