Date,Sum of gps_away_from_home,Sum of gps_retail_and_recreation,Sum of gps_transit_stations,Sum of gps_residential,Sum of gps_parks
2/24/2020,0.054913,1.49022,2.13428,0.05434,7.54676
2/25/2020,0.093984,1.7984,2.13606,0.01429,7.7799
2/26/2020,0.1579905,2.25807,2.28117,-0.04284,7.66407
2/27/2020,0.2312095,2.6783,2.49664,-0.11574,8.29003
2/28/2020,0.32942,3.109,2.74572,-0.21713,8.7237
2/29/2020,0.4445628,3.426,2.88763,-0.28279,7.8998
3/1/2020,0.5463177,3.8897,3.07677,-0.33275,7.5658
3/2/2020,0.6137937,4.2921,3.1103,-0.39002,7.74316
3/3/2020,0.6933867,4.849,3.19796,-0.47146,8.99701
3/4/2020,0.7062567,4.9033,3.15912,-0.48274,10.13816
3/5/2020,0.73928,4.97727,3.12848,-0.5155,11.22843
3/6/2020,0.68841,4.78099,2.95059,-0.46247,11.6148
3/7/2020,0.635693,4.69436,2.97109,-0.4327,12.8622
3/8/2020,0.580271,4.5088,2.9762,-0.40577,15.20374
3/9/2020,0.524601,4.43594,2.91356,-0.35853,17.21487
3/10/2020,0.4452066,4.11876,2.72594,-0.27709,17.4414
3/11/2020,0.3860005,4.03153,2.54516,-0.22423,18.28941
3/12/2020,0.2810654,3.94741,2.15533,-0.12004,18.4081
3/13/2020,0.0624124,3.63937,1.42794,0.10583,17.8494
3/14/2020,-0.523809,2.4231,0.30393,0.44008,15.7592
3/15/2020,-1.14264,0.9959,-1.03552,0.74419,12.436
3/16/2020,-1.73017,0.06836,-2.2172,1.23996,10.19234
3/17/2020,-2.4276,-1.725310001,-3.55702,1.9542,9.435
3/18/2020,-3.3963,-3.97426,-5.23594,2.8203,8.4866
3/19/2020,-4.3767,-6.5842,-7.24846,3.7938,7.04712
3/20/2020,-5.2824,-8.991,-9.05037,4.7296,7.057739995
3/21/2020,-6.2471,-11.3451,-10.7097,5.2775,7.37249
3/22/2020,-7.2085,-13.797,-12.7486,5.7531,6.83348
3/23/2020,-7.9887,-15.973,-14.4356,6.4129,5.50899
3/24/2020,-8.549,-17.54,-15.8343,6.979,4.73996
3/25/2020,-9.075,-18.718,-17.0526,7.4501,3.934
3/26/2020,-9.412,-19.528,-17.864,7.791,5.345
3/27/2020,-9.734,-20.252,-18.7641,8.123,5.6016
3/28/2020,-10.114,-20.886,-19.845,8.342,4.20889
3/29/2020,-10.371,-21.224,-20.597,8.47,4.01162
3/30/2020,-10.532,-21.478,-20.99,8.601,5.066869994
3/31/2020,-10.629,-21.503,-21.309,8.699,4.8215
4/1/2020,-10.678,-21.324,-21.438,8.743,4.8701
4/2/2020,-10.794,-21.414,-21.757,8.862,3.13187
4/3/2020,-10.905,-21.45,-21.984,8.977,1.39885
4/4/2020,-10.98,-21.458,-22.095,9.016,1.59702
4/5/2020,-10.995,-21.501,-22.269,9.022,2.13834
4/6/2020,-11.049,-21.541,-22.351,9.07,3.097559998
4/7/2020,-11.053,-21.593,-22.429,9.072,5.00253
4/8/2020,-11.089,-21.844,-22.624,9.106,5.6318
4/9/2020,-11.105,-21.868,-22.734,9.119,5.3745
4/10/2020,-11.173,-21.838,-22.865,9.192,6.18396
4/11/2020,-11.076,-21.557,-22.928,9.136,6.61234
4/12/2020,-11.211,-22.819,-23.379,9.204,4.08424
4/13/2020,-11.342,-23.105,-23.693,9.315,1.06426
4/14/2020,-11.357,-23.03,-23.759,9.326,-0.9332
4/15/2020,-11.32,-22.489,-23.667,9.292,-2.25503
4/16/2020,-11.263,-22.137,-23.512,9.239,-2.03297
4/17/2020,-11.139,-21.974,-23.273,9.111,-2.30566
4/18/2020,-11.061,-21.825,-22.944,9.064,-2.38567
4/19/2020,-10.759,-20.095,-22.26,8.917,0.87292
4/20/2020,-10.554,-19.376,-21.771,8.743,3.8801
4/21/2020,-10.489,-19.059,-21.582,8.676,5.07872
4/22/2020,-10.457,-19.199,-21.499,8.648,6.0764
4/23/2020,-10.433,-19.221,-21.399,8.625,6.442699999
4/24/2020,-10.38,-19.105,-21.2596,8.569,7.15311
4/25/2020,-10.168,-18.819,-20.9244,8.448,9.5284
4/26/2020,-10.05,-18.594,-20.7153,8.387,9.45124
4/27/2020,-10.007,-18.364,-20.5623,8.352,9.38463
4/28/2020,-9.488,-18.034,-20.2903,7.8251,10.09631
4/29/2020,-9.401,-17.636,-20.0227,7.7472,10.65876
4/30/2020,-9.29,-17.178,-19.6724,7.6402,11.40429
5/1/2020,-9.104,-16.527,-19.111,7.4376,13.4935
5/2/2020,-8.8038,-15.996,-18.4728,7.2669,16.24893
5/3/2020,-8.4778,-15.352,-17.8855,7.1098,18.8955
5/4/2020,-8.3154,-14.857,-17.5687,6.9761,19.4861
5/5/2020,-8.6467,-14.3401,-17.32247,7.3096,19.46544
5/6/2020,-8.5314,-14.0467,-17.06299,7.2132,20.27303
5/7/2020,-8.3835,-13.6834,-16.73946,7.0636,22.28274
5/8/2020,-8.3645,-13.6895,-16.71421,7.0507,21.23358
5/9/2020,-8.357,-13.4603,-16.78453,7.0412,17.071
5/10/2020,-8.115,-13.1479,-16.5791,6.9218,16.4894
5/11/2020,-8.0941,-13.3173,-16.4775,6.9045,15.9227
5/12/2020,-8.0503,-13.3914,-16.3357,6.8619,16.4167
5/13/2020,-7.9699,-13.1701,-16.1464,6.7894,16.9518
5/14/2020,-7.9023,-13.0469,-16.0345,6.723,17.26827
5/15/2020,-7.7707,-12.7845,-15.8054,6.5841,19.58976
5/16/2020,-7.6158,-12.6824,-15.5705,6.4962,21.6568
5/17/2020,-7.7203,-12.6807,-15.4726,6.5444,24.1143
5/18/2020,-7.5959,-12.1711,-15.3059,6.4496,25.3261
5/19/2020,-7.5068,-11.7422,-15.1628,6.3503,26.25873
5/20/2020,-7.3932,-11.3402,-14.88181,6.2501,27.26717
5/21/2020,-7.2922,-10.82697,-14.444,6.1524,28.44601
5/22/2020,-7.1789,-10.43111,-13.93941,6.0315,29.9526
5/23/2020,-6.9851,-10.22484,-13.55738,5.9276,30.3114
5/24/2020,-6.6343,-9.7579,-13.17633,5.7497,34.7142
5/25/2020,-7.1226,-9.9965,-13.56066,6.1664,39.9319
5/26/2020,-6.5375,-9.65254,-13.00117,5.6479,35.8106
5/27/2020,-6.4475,-9.53289,-12.88743,5.5736,35.52151
5/28/2020,-6.401,-9.47406,-12.84571,5.5288,36.4719
5/29/2020,-6.3524,-9.4087,-12.83402,5.4758,36.2751
5/30/2020,-6.2469,-9.178,-12.50877,5.4161,37.0835
5/31/2020,-6.2336,-9.01393,-12.0414,5.4035,36.0881
6/1/2020,-5.9785,-8.36787,-11.40341,5.1943,38.5303
6/2/2020,-5.8938,-7.99199,-11.06507,5.1096,39.5853
6/3/2020,-5.7817,-7.61818,-10.84065,5.008,38.3015
6/4/2020,-5.6491,-7.31668,-10.61209,4.8719,41.4851
6/5/2020,-5.5333,-7.05653,-10.45679,4.7594,42.3396
6/6/2020,-5.4385,-6.85553,-10.37837,4.7039,42.6607
6/7/2020,-5.3683,-6.66974,-10.26571,4.6684,43.0961
6/8/2020,-5.3504,-6.65221,-10.2413,4.6543,43.7786
6/9/2020,-5.3336,-6.59554,-10.26191,4.6377,43.163
6/10/2020,-5.28,-6.48597,-10.16817,4.5915,42.23314
6/11/2020,-5.2392,-6.35657,-10.02803,4.5493,42.7392
6/12/2020,-5.1242,-6.1475,-9.71823,4.4308,44.9131
6/13/2020,-4.9347,-5.9107,-9.27116,4.3263,47.2365
6/14/2020,-4.7505,-5.65126,-8.85454,4.2318,48.6459
6/15/2020,-4.6644,-5.42174,-8.5727,4.1582,49.6795
6/16/2020,-4.582,-5.13997,-8.2935,4.0758,52.1617
6/17/2020,-4.5158,-4.98195,-8.0897,4.0173,53.9059
6/18/2020,-4.4359,-4.79674,-7.8684,3.9351,55.0461
6/19/2020,-4.312,-4.67055,-7.73111,3.807,52.8694
6/20/2020,-4.2503,-4.55801,-7.6923,3.7729,54.7246
6/21/2020,-4.0376,-4.54837,-7.63678,3.668,54.3901
6/22/2020,-4.0467,-4.65389,-7.58693,3.676,54.2675
6/23/2020,-4.0227,-4.65132,-7.47093,3.6525,54.5152
6/24/2020,-3.99225,-4.62101,-7.35652,3.624,54.7068
6/25/2020,-3.97781,-4.59063,-7.20507,3.6111,55.4359
6/26/2020,-4.07161,-4.66165,-7.10358,3.7077,52.7486
6/27/2020,-4.13431,-4.79254,-6.86456,3.7432,54.6821
6/28/2020,-4.386,-4.83985,-6.66291,3.8673,54.013
6/29/2020,-4.3783,-4.655560001,-6.5619,3.8597,53.6905
6/30/2020,-4.377,-4.42151,-6.4791,3.8607,52.6582
7/1/2020,-4.327,-3.97446,-6.1717,3.8163,52.4997
7/2/2020,-4.2272,-3.21859,-5.63836,3.7135,54.3137
7/3/2020,-4.4725,-2.69602,-5.6911,3.9692,54.9109
7/4/2020,-4.2357,-4.46779,-6.71425,3.7195,53.1584
