Year Week,Week,destination_state,Index YOY Change-Booking-Hotel
"Jan 6, 2020 to Jan 12, 2020 (Week 2)",1/6/2020,Connecticut,-0.013636892
"Jan 6, 2020 to Jan 12, 2020 (Week 2)",1/6/2020,Georgia,-0.00783651
"Jan 6, 2020 to Jan 12, 2020 (Week 2)",1/6/2020,Delaware,-0.000715839
"Jan 6, 2020 to Jan 12, 2020 (Week 2)",1/6/2020,Florida,-0.002423378
"Jan 6, 2020 to Jan 12, 2020 (Week 2)",1/6/2020,Colorado,-0.005690552
"Jan 6, 2020 to Jan 12, 2020 (Week 2)",1/6/2020,Alabama,-0.013909352
"Jan 6, 2020 to Jan 12, 2020 (Week 2)",1/6/2020,Alaska,0.004749689
"Jan 6, 2020 to Jan 12, 2020 (Week 2)",1/6/2020,California,0.0023571
"Jan 6, 2020 to Jan 12, 2020 (Week 2)",1/6/2020,Arizona,0.002013181
"Jan 6, 2020 to Jan 12, 2020 (Week 2)",1/6/2020,Arkansas,-0.01339889
"Jan 13, 2020 to Jan 19, 2020 (Week 3)",1/13/2020,Florida,0.089267613
"Jan 13, 2020 to Jan 19, 2020 (Week 3)",1/13/2020,Alabama,0.105538691
"Jan 13, 2020 to Jan 19, 2020 (Week 3)",1/13/2020,California,0.068742298
"Jan 13, 2020 to Jan 19, 2020 (Week 3)",1/13/2020,Georgia,0.086182635
"Jan 13, 2020 to Jan 19, 2020 (Week 3)",1/13/2020,Arkansas,0.12052768
"Jan 13, 2020 to Jan 19, 2020 (Week 3)",1/13/2020,Arizona,0.095109364
"Jan 13, 2020 to Jan 19, 2020 (Week 3)",1/13/2020,Colorado,0.105275571
"Jan 13, 2020 to Jan 19, 2020 (Week 3)",1/13/2020,Connecticut,0.044799659
"Jan 13, 2020 to Jan 19, 2020 (Week 3)",1/13/2020,Alaska,-0.01122798
"Jan 13, 2020 to Jan 19, 2020 (Week 3)",1/13/2020,Delaware,0.097635191
"Jan 20, 2020 to Jan 26, 2020 (Week 4)",1/20/2020,Alabama,0.002668425
"Jan 20, 2020 to Jan 26, 2020 (Week 4)",1/20/2020,Colorado,0.021457203
"Jan 20, 2020 to Jan 26, 2020 (Week 4)",1/20/2020,Florida,0.058366842
"Jan 20, 2020 to Jan 26, 2020 (Week 4)",1/20/2020,Delaware,-0.101917442
"Jan 20, 2020 to Jan 26, 2020 (Week 4)",1/20/2020,Arizona,0.090794453
"Jan 20, 2020 to Jan 26, 2020 (Week 4)",1/20/2020,Connecticut,0.047197104
"Jan 20, 2020 to Jan 26, 2020 (Week 4)",1/20/2020,Arkansas,0.074762528
"Jan 20, 2020 to Jan 26, 2020 (Week 4)",1/20/2020,Georgia,0.024657484
"Jan 20, 2020 to Jan 26, 2020 (Week 4)",1/20/2020,Alaska,-0.042127995
"Jan 20, 2020 to Jan 26, 2020 (Week 4)",1/20/2020,California,0.03242166
"Jan 27, 2020 to Feb 2, 2020 (Week 5)",1/27/2020,California,0.000194505
"Jan 27, 2020 to Feb 2, 2020 (Week 5)",1/27/2020,Florida,0.038420523
"Jan 27, 2020 to Feb 2, 2020 (Week 5)",1/27/2020,Georgia,0.053540741
"Jan 27, 2020 to Feb 2, 2020 (Week 5)",1/27/2020,Connecticut,-0.002678865
"Jan 27, 2020 to Feb 2, 2020 (Week 5)",1/27/2020,Delaware,-0.132469681
"Jan 27, 2020 to Feb 2, 2020 (Week 5)",1/27/2020,Alabama,0.016293463
"Jan 27, 2020 to Feb 2, 2020 (Week 5)",1/27/2020,Alaska,-0.123210758
"Jan 27, 2020 to Feb 2, 2020 (Week 5)",1/27/2020,Arkansas,-0.04707887
"Jan 27, 2020 to Feb 2, 2020 (Week 5)",1/27/2020,Arizona,-0.002090783
"Jan 27, 2020 to Feb 2, 2020 (Week 5)",1/27/2020,Colorado,0.038752913
"Feb 3, 2020 to Feb 9, 2020 (Week 6)",2/3/2020,Alaska,-0.010679379
"Feb 3, 2020 to Feb 9, 2020 (Week 6)",2/3/2020,Delaware,0.048929517
"Feb 3, 2020 to Feb 9, 2020 (Week 6)",2/3/2020,Alabama,0.032184117
"Feb 3, 2020 to Feb 9, 2020 (Week 6)",2/3/2020,Florida,0.03482118
"Feb 3, 2020 to Feb 9, 2020 (Week 6)",2/3/2020,Arkansas,0.040424266
"Feb 3, 2020 to Feb 9, 2020 (Week 6)",2/3/2020,California,0.053755761
"Feb 3, 2020 to Feb 9, 2020 (Week 6)",2/3/2020,Connecticut,0.01802889
"Feb 3, 2020 to Feb 9, 2020 (Week 6)",2/3/2020,Georgia,0.046224578
"Feb 3, 2020 to Feb 9, 2020 (Week 6)",2/3/2020,Arizona,0.08489148
"Feb 3, 2020 to Feb 9, 2020 (Week 6)",2/3/2020,Colorado,0.065032384
"Feb 10, 2020 to Feb 16, 2020 (Week 7)",2/10/2020,Arkansas,0.04098469
"Feb 10, 2020 to Feb 16, 2020 (Week 7)",2/10/2020,California,0.076423676
"Feb 10, 2020 to Feb 16, 2020 (Week 7)",2/10/2020,Alabama,0.118444884
"Feb 10, 2020 to Feb 16, 2020 (Week 7)",2/10/2020,Colorado,0.088986426
"Feb 10, 2020 to Feb 16, 2020 (Week 7)",2/10/2020,Delaware,0.102160551
"Feb 10, 2020 to Feb 16, 2020 (Week 7)",2/10/2020,Connecticut,0.009550511
"Feb 10, 2020 to Feb 16, 2020 (Week 7)",2/10/2020,Alaska,0.228657219
"Feb 10, 2020 to Feb 16, 2020 (Week 7)",2/10/2020,Georgia,0.066944878
