Year Week,destination_state,Index YOY Change-Search-Hotel
"Jan 6, 2020 to Jan 12, 2020 (Week 2)",Indiana,-0.011976594
"Jan 6, 2020 to Jan 12, 2020 (Week 2)",Illinois,-0.007806564
"Jan 6, 2020 to Jan 12, 2020 (Week 2)",Idaho,0.00697096
"Jan 6, 2020 to Jan 12, 2020 (Week 2)",Maine,-0.012205131
"Jan 6, 2020 to Jan 12, 2020 (Week 2)",Kentucky,-0.003642619
"Jan 6, 2020 to Jan 12, 2020 (Week 2)",Maryland,-0.010269148
"Jan 6, 2020 to Jan 12, 2020 (Week 2)",Hawaii,-0.013849687
"Jan 6, 2020 to Jan 12, 2020 (Week 2)",Iowa,-0.009545002
"Jan 6, 2020 to Jan 12, 2020 (Week 2)",Louisiana,-0.013757424
"Jan 6, 2020 to Jan 12, 2020 (Week 2)",Kansas,-0.011596457
"Jan 13, 2020 to Jan 19, 2020 (Week 3)",Indiana,0.078535835
"Jan 13, 2020 to Jan 19, 2020 (Week 3)",Louisiana,0.045002247
"Jan 13, 2020 to Jan 19, 2020 (Week 3)",Idaho,0.046916011
"Jan 13, 2020 to Jan 19, 2020 (Week 3)",Illinois,0.058538357
"Jan 13, 2020 to Jan 19, 2020 (Week 3)",Kansas,0.08571115
"Jan 13, 2020 to Jan 19, 2020 (Week 3)",Iowa,0.081363199
"Jan 13, 2020 to Jan 19, 2020 (Week 3)",Kentucky,0.027227723
"Jan 13, 2020 to Jan 19, 2020 (Week 3)",Maryland,0.050779844
"Jan 13, 2020 to Jan 19, 2020 (Week 3)",Maine,0.105824302
"Jan 13, 2020 to Jan 19, 2020 (Week 3)",Hawaii,0.081970188
"Jan 20, 2020 to Jan 26, 2020 (Week 4)",Hawaii,-0.011083278
"Jan 20, 2020 to Jan 26, 2020 (Week 4)",Maine,0.111544599
"Jan 20, 2020 to Jan 26, 2020 (Week 4)",Maryland,0.024504686
"Jan 20, 2020 to Jan 26, 2020 (Week 4)",Kentucky,0.01665842
"Jan 20, 2020 to Jan 26, 2020 (Week 4)",Indiana,0.082292947
"Jan 20, 2020 to Jan 26, 2020 (Week 4)",Iowa,0.086697514
"Jan 20, 2020 to Jan 26, 2020 (Week 4)",Idaho,0.029765481
"Jan 20, 2020 to Jan 26, 2020 (Week 4)",Louisiana,0.105647704
"Jan 20, 2020 to Jan 26, 2020 (Week 4)",Kansas,0.099982798
"Jan 20, 2020 to Jan 26, 2020 (Week 4)",Illinois,0.052474301
"Jan 27, 2020 to Feb 2, 2020 (Week 5)",Idaho,0.013685849
"Jan 27, 2020 to Feb 2, 2020 (Week 5)",Hawaii,-0.0396307
"Jan 27, 2020 to Feb 2, 2020 (Week 5)",Kansas,0.077007044
"Jan 27, 2020 to Feb 2, 2020 (Week 5)",Indiana,0.052444685
"Jan 27, 2020 to Feb 2, 2020 (Week 5)",Maryland,0.00505577
"Jan 27, 2020 to Feb 2, 2020 (Week 5)",Kentucky,0.031635281
"Jan 27, 2020 to Feb 2, 2020 (Week 5)",Louisiana,0.051895942
"Jan 27, 2020 to Feb 2, 2020 (Week 5)",Illinois,0.041866024
"Jan 27, 2020 to Feb 2, 2020 (Week 5)",Maine,0.031977839
"Jan 27, 2020 to Feb 2, 2020 (Week 5)",Iowa,0.053540784
"Feb 3, 2020 to Feb 9, 2020 (Week 6)",Maryland,0.069722812
"Feb 3, 2020 to Feb 9, 2020 (Week 6)",Kansas,0.084712518
"Feb 3, 2020 to Feb 9, 2020 (Week 6)",Hawaii,-0.022484654
"Feb 3, 2020 to Feb 9, 2020 (Week 6)",Iowa,0.093165504
"Feb 3, 2020 to Feb 9, 2020 (Week 6)",Indiana,0.106096702
"Feb 3, 2020 to Feb 9, 2020 (Week 6)",Kentucky,0.060611822
"Feb 3, 2020 to Feb 9, 2020 (Week 6)",Idaho,0.079169368
"Feb 3, 2020 to Feb 9, 2020 (Week 6)",Illinois,0.059986798
"Feb 3, 2020 to Feb 9, 2020 (Week 6)",Maine,0.089849854
