destination_state,This Week - Last Week % change in flight Search Volume
Hawaii,0.012562653
Alaska,0.003511711
North Dakota,-6.78257E-05
Wyoming,-0.015110792
Minnesota,-0.017329651
Washington,-0.024887242
South Dakota,-0.027123061
"Washington, D.C.",-0.03478674
Massachusetts,-0.03935619
Indiana,-0.040170374
Colorado,-0.040800488
Illinois,-0.040994113
New Jersey,-0.042032688
Oregon,-0.042327586
Maryland,-0.049992426
New York,-0.051047642
Kentucky,-0.057473576
Arkansas,-0.057638803
Missouri,-0.05965092
Wisconsin,-0.060319517
Utah,-0.061833834
California,-0.062240317
Pennsylvania,-0.062766376
Ohio,-0.064012245
Idaho,-0.065600445
Nebraska,-0.066417011
Louisiana,-0.067782497
New Mexico,-0.068475453
Michigan,-0.06894528
Iowa,-0.072410892
New Hampshire,-0.072515232
Vermont,-0.076985949
Maine,-0.077411681
Oklahoma,-0.08053111
Arizona,-0.085133266
North Carolina,-0.08687674
Rhode Island,-0.087278532
Georgia,-0.087439494
West Virginia,-0.08777934
Nevada,-0.08915314
Montana,-0.091216161
Alabama,-0.093499808
Texas,-0.093545277
Kansas,-0.093954779
Virginia,-0.095633417
Mississippi,-0.102811104
Tennessee,-0.11244043
Connecticut,-0.115119018
Florida,-0.131620441
South Carolina,-0.167226674
Delaware,-0.236546499
