State,Date,Yoy Weekly Travel Spending,Tot Weekly Travel Spending,YEAR-OVER-YEAR % CHANGE-State,YEAR-OVER-YEAR % CHANGE-Country
Alabama,2-May,-188000000,44000000,-81.00%,-87.00%
Alabama,9-May,-175000000,57000000,-76.00%,-86.00%
Alabama,16-May,-169000000,63000000,-73.00%,-85.00%
Alabama,23-May,-137000000,95000000,-59.00%,-74.00%
Alabama,30-May,-111000000,121000000,-48.00%,-63.00%
Alabama,6-Jun,-111000000,135000000,-45.00%,-61.00%
Alabama,13-Jun,-110000000,136000000,-45.00%,-58.00%
Alabama,20-Jun,-89000000,157000000,-36.00%,-55.00%
Alaska,2-May,-45000000,12000000,-79.00%,-87.00%
Alaska,9-May,-46000000,11000000,-81.00%,-86.00%
Alaska,16-May,-46000000,11000000,-80.00%,-85.00%
Alaska,23-May,-40000000,17000000,-70.00%,-74.00%
Alaska,30-May,-34000000,23000000,-59.00%,-63.00%
Alaska,6-Jun,-34000000,26000000,-57.00%,-61.00%
Alaska,13-Jun,-33000000,27000000,-55.00%,-58.00%
Alaska,20-Jun,-33000000,27000000,-55.00%,-55.00%
Arizona,2-May,-377000000,57000000,-87.00%,-87.00%
Arizona,9-May,-373000000,61000000,-86.00%,-86.00%
Arizona,16-May,-363000000,70000000,-84.00%,-85.00%
Arizona,23-May,-291000000,143000000,-67.00%,-74.00%
Arizona,30-May,-231000000,202000000,-53.00%,-63.00%
Arizona,6-Jun,-208000000,251000000,-45.00%,-61.00%
Arizona,13-Jun,-185000000,274000000,-40.00%,-58.00%
Arizona,20-Jun,-179000000,280000000,-39.00%,-55.00%
Arkansas,2-May,-118000000,31000000,-79.00%,-87.00%
Arkansas,9-May,-118000000,31000000,-79.00%,-86.00%
Arkansas,16-May,-115000000,34000000,-77.00%,-85.00%
Arkansas,23-May,-96000000,53000000,-65.00%,-74.00%
Arkansas,30-May,-75000000,74000000,-50.00%,-63.00%
Arkansas,6-Jun,-77000000,81000000,-49.00%,-61.00%
Arkansas,13-Jun,-71000000,86000000,-45.00%,-58.00%
Arkansas,20-Jun,-70000000,87000000,-45.00%,-55.00%
California,2-May,-2659000000,328000000,-89.00%,-87.00%
California,9-May,-2607000000,381000000,-87.00%,-86.00%
