Date,Diner_Booking_Data
18-Feb,0
19-Feb,4
20-Feb,0
21-Feb,-1
22-Feb,2
23-Feb,6
24-Feb,2
25-Feb,2
26-Feb,-1
27-Feb,-1
28-Feb,1
29-Feb,3
1-Mar,2
2-Mar,-7
3-Mar,-9
4-Mar,-5
5-Mar,-5
6-Mar,-6
7-Mar,-3
8-Mar,-2
9-Mar,-14
10-Mar,-18
11-Mar,-19
12-Mar,-28
13-Mar,-36
14-Mar,-42
15-Mar,-48
16-Mar,-56
17-Mar,-84
18-Mar,-91
19-Mar,-97.54
20-Mar,-99.35
21-Mar,-99.89
22-Mar,-99.93
23-Mar,-99.97
24-Mar,-99.97
25-Mar,-99.98
26-Mar,-99.98
27-Mar,-99.99
28-Mar,-99.98
29-Mar,-100
30-Mar,-99.99
31-Mar,-99.99
1-Apr,-99.99
2-Apr,-99.98
3-Apr,-99.97
4-Apr,-99.98
5-Apr,-99.99
6-Apr,-100
7-Apr,-99.99
8-Apr,-99.97
9-Apr,-100
10-Apr,-99.97
11-Apr,-99.98
12-Apr,-99.99
13-Apr,-99.99
14-Apr,-99.99
15-Apr,-99.97
16-Apr,-99.96
17-Apr,-99.97
18-Apr,-99.97
19-Apr,-99.98
20-Apr,-99.99
21-Apr,-99.97
22-Apr,-99.97
23-Apr,-99.98
24-Apr,-99.97
25-Apr,-99.97
26-Apr,-99.99
27-Apr,-99.89
28-Apr,-99.9
29-Apr,-99.91
30-Apr,-99.86
1-May,-98.81
2-May,-98.97
3-May,-99.16
4-May,-98.04
5-May,-97.98
6-May,-98.02
7-May,-97.75
8-May,-97.06
9-May,-97.12
10-May,-96.86
11-May,-95.67
12-May,-95.62
13-May,-95.31
14-May,-94.94
15-May,-93.55
16-May,-93.03
17-May,-93.64
18-May,-93.66
19-May,-92.63
20-May,-91.62
21-May,-89.83
22-May,-87.31
23-May,-87.04
24-May,-87.88
25-May,-86.84
26-May,-85.57
27-May,-84.57
28-May,-84.35
29-May,-81.62
30-May,-80.98
31-May,-83.01
1-Jun,-84.18
2-Jun,-83.48
3-Jun,-81.16
4-Jun,-79.66
5-Jun,-75.46
6-Jun,-73.9
7-Jun,-74.08
8-Jun,-75.14
9-Jun,-75.29
10-Jun,-72.32
11-Jun,-69.94
12-Jun,-65.02
13-Jun,-64.63
14-Jun,-78.06
15-Jun,-67.47
16-Jun,-66.18
17-Jun,-65.2
18-Jun,-64.08
19-Jun,-59.97
20-Jun,-58.8
21-Jun,-41.37
22-Jun,-66.47
23-Jun,-65.36
24-Jun,-63.89
25-Jun,-61.59
26-Jun,-57.99
27-Jun,-57
28-Jun,-60.26
29-Jun,-65.29
30-Jun,-62.47
1-Jul,-64.71
2-Jul,-49.78
3-Jul,-57.16
4-Jul,-72.59
5-Jul,-59.61
6-Jul,-63.43
7-Jul,-64.81
8-Jul,-65.01
9-Jul,-62.75
10-Jul,-62.45
11-Jul,-57.87
12-Jul,-59.5
13-Jul,-66.21
14-Jul,-65.47
15-Jul,-64.05
16-Jul,-61.76
17-Jul,-59.29
